Q#,Section,Topic Code,Topic Name,Confidence,Text Preview
68,reasoning,RM_NV_PATTERN,Non-Verbal Pattern Completion,0.95,"[FIGURE QUESTION - non verbal reasoning pattern/di"
69,reasoning,RM_NV_PATTERN,Non-Verbal Pattern Completion,0.95,"[FIGURE QUESTION - non verbal reasoning pattern/di"
70,reasoning,RM_NV_PATTERN,Non-Verbal Pattern Completion,0.95,"[FIGURE QUESTION - non verbal reasoning pattern/di"
71,reasoning,RM_NV_PATTERN,Non-Verbal Pattern Completion,0.95,"[FIGURE QUESTION - non verbal reasoning pattern/di"
72,reasoning,RM_VR_ANALOGY,Verbal Analogy,0.90,"Editor : Magazine : ? : ?"
73,reasoning,RM_VR_ANALOGY,Verbal Analogy,0.95,"Taste : Tongue : : Walk : ?"
74,reasoning,RM_VR_ANALOGY,Verbal Analogy,0.95,"Chimney : Smoke : : _____ : ____"
75,reasoning,RM_NV_ANALOGY,Non-Verbal Analogy,0.95,"DCGH : LKQP : : FEJI : ?"
76,reasoning,RM_VR_ANALOGY,Verbal Analogy,0.95,"Paw : Cat :: Hoof : ?"
77,reasoning,RM_NV_SERIES,Non-Verbal Series,0.90,"Select a figure from amongst the Answer Figures wh"
78,reasoning,RM_NV_SERIES,Non-Verbal Series,0.90,"Select a figure from amongst the Answer Figures wh"
79,reasoning,RM_NV_SERIES,Non-Verbal Series,0.95,"Select a figure from amongst the Answer Figures wh"
80,reasoning,RM_NV_FIG,Figure-based Questions,0.90,"[REASONING - likely non-verbal figure/diagram]"
81,reasoning,RM_NV_SERIES,Non-Verbal Series,0.95,"Select a figure from amongst the Answer Figures wh"
82,reasoning,RM_NV_PATTERN,Pattern Completion,0.95,"Identify the figure that completes the pattern."
83,reasoning,RM_NV_PATTERN,Pattern Completion,0.95,"Identify the figure that completes the pattern."
84,reasoning,RM_NV_PATTERN,Pattern Completion,0.95,"Identify the figure that completes the pattern."
85,numerical_ability,NA_NUM,Number System,0.50,"[MATH - topic cannot be inferred from neighbors]"
86,reasoning,RM_NV_PATTERN,Pattern Completion,0.95,"Identify the figure that completes the pattern."
87,reasoning,RM_NV_CLASS,Non-Verbal Classification,0.95,"Choose the figure which is different from the rest"
88,unknown,unknown,unknown,0.00,"Choose the figure which is different from the rest"
89,reasoning,RM_NV_CLASS,Non-Verbal Classification,0.95,"Choose the figure which is different from the rest"
90,reasoning,RM_NV_CLASS,Non-Verbal Classification,0.95,"Choose the figure which is different from the rest"
91,reasoning,RM_NV_CLASS,Non-Verbal Classification,0.95,"Choose the figure which is different from the rest"
92,reasoning,RM_NV_VENN,Venn Diagrams,0.90,"Which of the following diagrams indicates the best"
93,unknown,unknown,unknown,0.00,"Which of the following diagrams indicates the best"
94,reasoning,RM_NV_CLASS,Non-Verbal Classification,0.90,"Which of the following diagrams indicates the best"
95,reasoning,RM_NV_CLASS,Non-Verbal Classification,0.90,"Which of the following diagrams indicates the best"
96,reasoning,RM_NV_CLASS,Non-Verbal Classification,0.90,"Which of the following diagrams indicates the best"
97,reasoning,RM_NV_SERIES,Non-Verbal Series,0.90,"Select a suitable figure from the Answer Figures t"
98,unknown,unknown,unknown,0.00,"Select a suitable figure from the Answer Figures t"
99,numerical_ability,NA_NUM,Number System,0.50,"[MATH - topic cannot be inferred from neighbors]"
100,reasoning,RM_NV_FIG,Figure-based Questions,0.95,"Select a suitable figure from the Answer Figures t"
